title,description,city,contact,nr,latitude,longitude
"Nachbarschaftshilfe Mitte Bielefeld, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 51,Bielefeld,"Telegram: https://t.me/joinchat/HKI5pBXWPUbPAZbC2dlAfw<br><br>Mitte, Bielefeld, Germany",51,52.0234685,8.5383133
"Nachbarschaftshilfe Bonn, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 56,Bonn,"Telegram: https://t.me/GegenseitigeHilfeBonn<br><br>Bonn, Germany",56,50.73743,7.0982068
"Nachbarschaftshilfe Bochum, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 57,Bochum,"Telegram: https://t.me/joinchat/HZZirhnNWeUh8uUb13ioQQ<br><br>Bochum, Germany",57,51.4818445,7.216236299999999
"Nachbarschaftshilfe Braunschweig, Niedersachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 58,Braunschweig,"Telegram: https://t.me/joinchat/E3Frdxx0WXN_7AR4dGEoNA<br><br>Brunswick, Germany",58,52.2688736,10.5267696
"Nachbarschaftshilfe Bremen, Bremen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 59,Bremen,"Telegram: https://t.me/EinkaufshilfeHB<br><br>Flughafenallee 20, 28199 Bremen, Germany",59,53.0542628,8.7845838
"Nachbarschaftshilfe Darmstadt, Hessen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 60,Darmstadt,"Telegram: https://t.me/CoronaSoliDarmstadt<br><br>Darmstadt, Germany",60,49.8728253,8.6511929
"Nachbarschaftshilfe Detmold, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 61,Detmold,"Telegram: https://t.me/joinchat/Nm0wGFT0_bTcSHzrWrmpYA<br><br>Detmold, Germany",61,51.9384783,8.8686381
"Nachbarschaftshilfe Innenstadt-Nord Dortmund, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 62,Dortmund,"Telegram: https://t.me/coronanordstadt<br><br>Innenstadt-Nord, Dortmund, Germany",62,51.5253261,7.463138499999999
"Nachbarschaftshilfe Innenstadt-Ost Dortmund, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 63,Dortmund,"Telegram: https://t.me/coronadoost<br><br>Innenstadt-Ost, Dortmund, Germany",63,51.5028403,7.4841659
"Nachbarschaftshilfe Duisburg, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 64,Duisburg,"Telegram: https://t.me/joinchat/AtKmsxR8qTQPdT_mSLFOHg<br><br>Duisburg, Germany",64,51.4344079,6.762329299999999
"Nachbarschaftshilfe Düren, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 65,Düren,"Telegram: https://t.me/duerengegencorona<br><br>North Rhine-Westphalia, Germany",65,51.43323669999999,7.661593799999999
"Nachbarschaftshilfe Düsseldorf, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 66,Düsseldorf,"Facebook: https://www.facebook.com/groups/2507520242793800<br><br>North Rhine-Westphalia, Germany",66,51.43323669999999,7.661593799999999
"Nachbarschaftshilfe Eberswalde, Brandenburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 67,Eberswalde,"Telegram: https://t.me/nachbarn_eberswalde<br><br>Eberswalde, Germany",67,52.83713299999999,13.7875871
"Nachbarschaftshilfe Einbeck, Niedersachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 68,Einbeck,"Telegram: https://t.me/greenesolidarisch<br><br>37574 Einbeck, Germany",68,51.8205718,9.8683087
"Nachbarschaftshilfe Erfurt, Thüringen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 69,Erfurt,"Telegram: https://t.me/joinchat/Ehw9NxibSmY11hjqdEz_Xg<br><br>Erfurt, Germany",69,50.98476789999999,11.02988
"Nachbarschaftshilfe Essen, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 70,Essen,"Telegram: https://t.me/EssenSolidarity<br><br>Essen, Germany",70,51.4556432,7.0115552
"Nachbarschaftshilfe Ruhrhalbinsel Essen, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 71,Essen,"Telegram: https://t.me/joinchat/I-K0MBuMAUVvbxxnLBWErA<br><br>North Rhine-Westphalia, Germany",71,51.43323669999999,7.661593799999999
"Nachbarschaftshilfe Rüttenscheid Essen, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 72,Essen,"Telegram: https://t.me/RuettenscheidSolidarity<br><br>North Rhine-Westphalia, Germany",72,51.43323669999999,7.661593799999999
"Nachbarschaftshilfe Esslingen am Neckar, Baden-Württemberg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 73,Esslingen,"Telegram: https://t.me/solidarischenachbarnesslingen<br><br>Esslingen, Germany",73,48.7433425,9.320112199999999
"Nachbarschaftshilfe Falkensee, Brandenburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 74,Falkensee,"Telegram: https://t.me/CoronaSoliFalkensee<br><br>Falkensee, Germany",74,52.562044,13.0770003
"Nachbarschaftshilfe Frankfurt am Main, Hessen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 75,Frankfurt am Main,"Telegram: https://t.me/joinchat/AlM53xzpLC0LIKt7gNF1qg<br><br>Frankfurt, Germany",75,50.1109221,8.6821267
"Nachbarschaftshilfe Frankfurt (Oder), Brandenburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 76,Frankfurt Oder,"Telegram: https://t.me/joinchat/Ehw9Nxb1xLxsd3q2PhpUZQ<br><br>Frankfurt an der Oder, Germany",76,52.3472237,14.5505672
"Nachbarschaftshilfe Freiburg im Breisgau, Baden-Württemberg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 77,Freiburg,"Telegram: https://t.me/corona_soli_fr<br><br>Freiburg im Breisgau, Germany",77,47.9990077,7.842104299999999
"Nachbarschaftshilfe Freising, Bayern, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 78,Freising,"Facebook: https://www.facebook.com/groups/210423140316763<br><br>Freising, Germany",78,48.4028796,11.7411846
"Nachbarschaftshilfe Gelsenkirchen, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 79,Gelsenkirchen,"Telegram: https://t.me/joinchat/Ep6ylhhGvu-9u0liZzdmPQ<br><br>Gelsenkirchen, Germany",79,51.517744,7.085717199999999
"Nachbarschaftshilfe Göttingen, Niedersachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 80,Göttingen,"Telegram: https://t.me/solidarischesgoe<br><br>Lower Saxony, Germany",80,52.6367036,9.8450766
"Nachbarschaftshilfe Grevenbroich, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 81,Grevenbroich,"Telegram: https://t.me/Nachbarschaftshilfe_GV<br><br>Grevenbroich, Germany",81,51.0902094,6.585863000000001
"Nachbarschaftshilfe Halle (Saale), Sachsen-Anhalt, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 82,Halle Saale,"Telegram: https://t.me/joinchat/EU2buBQTFe9UkbecioaS2Q<br><br>Halle (Saale), Germany",82,51.4969802,11.9688029
"Nachbarschaftshilfe Hamburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 83,Hamburg,"Telegram: https://t.me/hamburg_gegen_corona<br><br>Hamburg, Germany",83,53.5510846,9.9936819
"Nachbarschaftshilfe Hamburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 84,Hamburg,"https://events.ccc.de/congress/2018/wiki/index.php/Assembly:Komona<br><br>Hamburg, Germany",84,53.5510846,9.9936819
"Nachbarschaftshilfe Altona, 22765, Hamburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 85,Hamburg,"* Allgemein, Telegram: https://t.me/altona_solidarisch * Ottensen, Telegram: https://t.me/ottensen_solidarisch * Schanze, Telegram: https://t.me/schanze_solidarisch<br><br>Altona, Hamburg, Germany",85,53.57915999999999,9.8745558
"Nachbarschaftshilfe Eimsbüttel, 20144, Hamburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 86,Hamburg,"* Allgemein, Telegram: https://t.me/eimsbuettel_solidarisch * Grindel / Rotherbaum, Telegram: https://t.me/joinchat/J7C8fhigPG_LGEwBaTuG0A * Stellingen, Telegram: https://t.me/joinchat/F1Aa_RiZ6bsczUmwHYqlbA<br><br>Hamburg, Germany",86,53.5510846,9.9936819
Nachbarschaftshilfe Harburg,Solidarische Nachbarschaft / solidary neighbourhood nr. 90,Hamburg,"Harburg, 21073, Hamburg, Germany<br><br>Harburg, Hamburg, Germany",90,53.4607681,9.9835844
"Nachbarschaftshilfe Mitte Hamburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 91,Hamburg,"* Hamm /  Hammerbrook / Borgfelde Telegram: https://t.me/joinchat/EBM20RQ9Clb7wYUVCBdmdw * Neustadt Telegram: https://t.me/Neustadt_gegen_corona * St. Georg Telegram: https://t.me/stgeorg_soli * St. Pauli Telegram: https://t.me/joinchat/DR4PKBY_ewQ3SgAhm14Iig * Veddel, Telegram:  https://t.me/veddel_solidarisch * Wilhelmsburg, Telegram: https://t.me/joinchat/BS9S2hlNDW4xPROFP8UNhA<br><br>Mitte, Hamburg, Germany",91,52.5372897,13.3602743
"Nachbarschaftshilfe Nord Hamburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 92,Hamburg,"* Barmbek Telegram: https://t.me/BarmbeksolidarischgegenCorona * Ohlsdorf / Fuhlsbüttel Telegram: https://t.me/ohlsdorf_fuhlsbuettel * Klein-Borstel Telegram: https://t.me/klein_borstel_gegen_corona * Winterhude Telegram: https://t.me/winterhudegegencorona<br><br>Hamburg-Nord, Hamburg, Germany",92,53.6117883,10.0072738
"Nachbarschaftshilfe Wandsbek Wandsbek, 22041, Hamburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 93,Hamburg,"* Alstertal / Walddörfer Telegram: https://t.me/SoliAlstertalWalddoerfer * Eilbek / Barmbek-Süd Telegram: https://t.me/eilbekbarmbek * Jenfeld Telegram: https://t.me/JenfeldggCorona * Rahlstedt Telegram: https://t.me/RahlstedtSolidarisch * Tonndorf Telegram: https://t.me/TonndorfggCorona<br><br>Am Neumarkt 20, 22041 Hamburg, Germany",93,53.57484299999999,10.087862
"Nachbarschaftshilfe Hannover, Niedersachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 100,Hannover Hanover,"Telegram: https://t.me/solistatthamster<br><br>Hanover, Germany",100,52.3758916,9.732010400000002
"Nachbarschaftshilfe Halberstadt, Sachsen-Anhalt, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 107,Halberstadt,"WhatsApp: https://chat.whatsapp.com/IRpe7haeVFpHX6j04M9gXY<br><br>Halberstadt, Germany",107,51.89487090000001,11.0496159
"Nachbarschaftshilfe Havixbeck, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 108,Havixbeck,"Facebook: http://www.facebook.com/nachbarschaftshilfehohenholte<br><br>48329 Havixbeck, Germany",108,51.9766921,7.4197282
"Nachbarschaftshilfe Heilbad Heiligenstadt, Thüringen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 109,Heilbad Heiligenstadt,"Telegram: https://t.me/joinchat/Q6vMQRuccTNomy-mc-rmLQ<br><br>37308 Heilbad Heiligenstadt, Germany",109,51.37702969999999,10.1439107
"Nachbarschaftshilfe Jena, Thüringen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 110,Jena,"Telegram: https://t.me/CoronaJena<br><br>Jena, Germany",110,50.927054,11.5892372
"Nachbarschaftshilfe Kaiserslautern, Rheinland-Pfalz, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 111,Kaiserslautern,"Telegram: https://t.me/gegenseitigehilfekl<br><br>Kaiserslautern, Germany",111,49.4400657,7.7491265
"Nachbarschaftshilfe Karlsruhe, Baden-Württemberg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 112,Karlsruhe,"Telegram: https://t.me/joinchat/Ehw9NxdAM5WbMDb9CL7gGw<br><br>Karlsruhe, Germany",112,49.0068901,8.4036527
"Nachbarschaftshilfe Kassel, Hessen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 113,Kassel,"Telegram: https://t.me/joinchat/IdF10kdcLesEP7hceRArnA<br><br>Kassel, Germany",113,51.3127114,9.4797461
"Nachbarschaftshilfe Kelkheim (Taunus), Hessen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 114,Kelkheim Taunus,"Telegram: https://t.me/kelkheimcorona<br><br>Taunus, 61479 Glashütten, Germany",114,50.2184749,8.417698999999999
"Nachbarschaftshilfe Köln, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 115,Köln,"* Telegram: https://t.me/CoronaSoliKoeln * Facebook: https://www.facebook.com/groups/871618459963541<br><br>Cologne, Germany",115,50.8993757,6.776658299999999
"Nachbarschaftshilfe Innenstadt, 50667, Köln, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 117,Köln,"Telegram: https://t.me/CORONA_Nachbarschaft_50678_Koeln<br><br>Innenstadt, Cologne, Germany",117,50.94102909999999,6.9577728
"Nachbarschaftshilfe Kalk, 51103, Köln, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 118,Köln,"* Allgemein Telegram: https://t.me/CoronaSoliKalk * Höhenberg Telegram: https://t.me/CoronaSoliHoehenberg<br><br>North Rhine-Westphalia, Germany",118,51.43323669999999,7.661593799999999
"Nachbarschaftshilfe Lindenthal, 50931, Köln, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 120,Köln,"* Allgemein Telegram: https://t.me/LindenthalSoliCorona * Sülz Telegram: https://t.me/SuelzSoliCorona<br><br>Lindenthal, Cologne, Germany",120,50.938242,6.844194600000001
"Nachbarschaftshilfe Köln Mülheim, 51063, Köln, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 122,Köln,"Telegram: https://t.me/koelnmuelhcorona<br><br>North Rhine-Westphalia, Germany",122,51.43323669999999,7.661593799999999
"Nachbarschaftshilfe Riehl, 50735, Köln, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 123,Köln,"Telegram: https://t.me/CoronaSoliRiehl<br><br>Riehl, Cologne, Germany",123,50.9632739,6.979807
"Nachbarschaftshilfe Rodenkirchen, 50996, Köln, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 124,Köln,"Telegram: https://t.me/RodenkirchensoligegenCorona<br><br>Rodenkirchen, Cologne, Germany",124,50.8924909,6.9672627
"Nachbarschaftshilfe Königswinter, Nordrhein-Westfalen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 125,Königswinter,"* Telegram: https://t.me/joinchat/KjRtVxixXhheQLUNvB2tvQ * Facebook: https://www.facebook.com/groups/524482044920857<br><br>Cologne, Germany",125,50.8993757,6.776658299999999
"Nachbarschaftshilfe Konstanz, Baden-Württemberg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 127,Konstanz,"Facebook: https://www.facebook.com/groups/639854800180782<br><br>Konstanz, Germany",127,47.6779496,9.173238399999999
"Nachbarschaftshilfe Lauenburg / Elbe, Schleswig-Holstein, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 128,Lauenburg Elbe,"WhatsApp: https://chat.whatsapp.com/DY6KEE8fW4YH4cUbfFu4KJ<br><br>21481 Lauenburg, Germany",128,53.3762523,10.5496697
"Nachbarschaftshilfe Alt-West Leipzig, Sachsen, Germany Lindenau",Solidarische Nachbarschaft / solidary neighbourhood nr. 129,Leipzig,"Telegram: https://t.me/coronasupportlindenau<br><br>Leipzig, Germany",129,51.345559,12.386075
"Nachbarschaftshilfe Mitte Leipzig, Sachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 130,Leipzig,"Telegram: https://t.me/joinchat/PAcDohq4TCkrvqkznVnneQ<br><br>Leipzig, Germany",130,51.345559,12.386075
"Nachbarschaftshilfe Ost Leipzig, Sachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 131,Leipzig,"Telegram: https://t.me/leipzigostsolidarisch<br><br>Ost, Leipzig, Germany",131,51.3452053,12.4731
"Nachbarschaftshilfe Landshut, Bayern, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 132,Landshut,"WhatsApp: https://chat.whatsapp.com/LlrXZyMvr0H5JdGPS6WaTx<br><br>Landshut, Germany",132,48.5441917,12.1468532
"Nachbarschaftshilfe Luckenwalde, Brandenburg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 133,Luckenwalde,"Telegram: https://t.me/luckenwalde<br><br>Luckenwalde, Germany",133,52.0903895,13.1636906
"Nachbarschaftshilfe Ludwigsburg, Baden-Württemberg, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 134,Ludwigsburg,"Telegram: https://t.me/joinchat/IbMWVRqChJV6RcKwVghwzQ<br><br>Ludwigsburg, Germany",134,48.8940624,9.195464
"Nachbarschaftshilfe Lüneburg, Niedersachsen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 135,Lüneburg,"* Allgemein Telegram: https://t.me/SolidarischeNachbarschaftLG * Altstadt / Innenstadt Telegram: https://t.me/AltstadtInnenstadt * Bockelsberg Telegram: https://t.me/SolidarischAmBockelsberg * Frommekiez Telegram: https://t.me/joinchat/FGP6eh2TPpzqKB3JRc7VhQ * Kaltenmoor Telegram: https://t.me/joinchat/B8o-zBv2aLB0znQjM_yIcw * Moorfeld / Hanseviertel Telegram: https://t.me/joinchat/BVY51hO_o83yjEGK8Vs1Pg * Oedeme Telegram: https://t.me/OedemeHaecklingenRettmer * Rotes Feld Telegram: https://t.me/RotesFeld * Weststadt Telegram: https://t.me/solidarischeWeststadt<br><br>Lüneburg, Niedersachsen, Germany",135,53.250194,10.40675
"Nachbarschaftshilfe Mainz, Rheinland-Pfalz, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 140,Mainz,"Telegram: https://t.me/joinchat/EM3PbknA8Dcbd6q6IMXTkw<br><br>Mainz, Germany",140,49.9928617,8.2472526
"Nachbarschaftshilfe Marburg, Hessen, Germany",Solidarische Nachbarschaft / solidary neighbourhood nr. 145,Marburg,"Telegram: https://t.me/NachbarschaftsChallengeMarburg<br><br>Marburg, Germany",145,50.8021728,8.7667933
